author,message message
Mike Newlands,@Valencia J indeed boundless energy for stealing "@Xolani Sibiya Zuma lied in parliament and had to repay the money he stole for his homestead. Zuma ""ANC more important than constitution"" hes a thief its a no brainer" Wasn't this lead advocate on the board at SABC under Hlaudi? Meantime greetings to the all the liars & thieves murderers at Lootfreely Hse- hope you guys are un well and choking on your ill gotten gains because we the people are coming for you!#voersekanc @Valencia J I find very therapeutic 😀 As a private citizen Zuma failed to to render his own income tax returns for 8 years 1995 to 2003. What a patriot he is  Zuma fell asleep whaaaat tiring business this lying stealing murderering etc that he excells at. I am learning fast-its really quite easy to separate the liars and thieves from the honest and trueful people. "When Peters was about to face tough questions in the oversight committee she ran away saying ""too busy"" and flew to Mauritius leaving her deputy to unsatisfactory answer questions." HEALTH WARNING Dont do your tax whilst watching these bright sporks who earn & steal millions stuffing up SA I am on the verge of shooting myself. @Moonchild would be amazing- but it would destroy the Absolutely No Consequences Party-the very party at the cost of destroying SA the ANC wants to keep on looting Was Lucky Montana company KG media improperly appointed to produce PRASA'a in house magazine Hambanathi.Value R33m over 6 years. Anyone know of this? @FieliesSA accounta what? unknown word in ANC language @Dylan Jacklin not one. Lying is now a way of life for the ANC and lying in partliament is done eveyday. @Maritime Studies indeed  @Lindwell Daniels sadly they are the ones who vote in the ANC they vote for thier own pain & suffering. I have no sympathy anymore. I have given up. @Thabo Daniel :elbowcough: "@Gerrit Van Schoor and lock her self in. Sadly @dude cool Johan Rupert is also corrupt? Hows that?
Goatee -,@Teunis van Ree - Hu rini na? @Diane Louw - How are you angel? @Diane Louw - So Zuma still not arrested? @Diane Louw - Zuma is above these people. @Lerato Moleke - Hu rini? @ALTA - HOW are you? @melds melds - You can praat right? @charlie zamile - I doubt if Zuma would be arrested. The muti that Zuma is using makes everyone shake in their boots. @Lerato Moleke - I said hi runi? @melds melds - Is praat home language? @melds melds - Oh what is the home language? @Lerato Moleke - Ndi sharp sthanda sami. "@chatlie zamile - Can you and I place a bet? I say Zuma won't be arrested @melds melds - Oh which accent do you have?😁 @Lerato Moleke - Okay Sthandwa. Manje when are you free for a date?😊 @melds melds - One with a little twist of British ? Because South Africans sound like Americans these days. @Lerato Moleke- We all gonna die but the virus shouldn't stop you and I from having a romantic moment together. @Lerato Moleke - And I want us to switch up things a little bit. You come and pick me up in your ride and open the door for me☺ Lerato Moleke - Do we have to kiss with masks on? @Lerato Moleke - Do you really think Cyril isnt kissing them girls during this pandemic? @melds melds - You are my role model nana. @muthu wa vhathu - Na nne ndo lindela zwezwo. "@melds melds - But be honest @Naledi Barron - Is here to spread the energy. @muthu wa vhathu - A thi hu tou nga a vha vhathu vha khou tou toda Zuma fhedzi. @Teunis van Ree - Hu rini mukalaha? @Teunis van Ree - Lol ndi vuwa. Ndo vuwa* @Candy Olga - Hu rini weh? @Teunis van Ree - Lol mara who taught you Tshivenda bro? @Candy Olga - zwo naka hezwo. @Teunis van Ree - So how much Venda do you speak out of ten? I hate speaking English these days. It used to be an a achievement back in the days but now I feel like speaking African languages is doper. So at shops and even with white ppl I am speaking Venda. @Teunis van Ree - Haha how is your Venda accent?😁😁 @Lerato Moleke - Ke nyaka u patela lobola.. Tshivenda should be made compulsory at all South African schools!!!!!!!!!! @Lerato Moleke- MARA I DOUBT if that person even finished. What happens most of the time is guys pay quarter ya lobola and then promise the family that they would finish if they handed over the bride. Heather Durr always blocks me for speaking an African language.This room is full of racists. You hate Afriforum you get blocked. You hate DA same thing. You love EFF or speak African language= blocked @melds melds - Just saying that Chris Rock was right all along when he said racism will never die but will only multiply. @Diane Louw - is one of the few Angel's here. @Diane Louw no you are an angel and so is @melds melds.. At least people can see Alta and Hesther Durr for who they are. Disgusting really. @Previous Nkopodi- Yeah bro..thanks for asking.
Thando Hlatshaneni,Thanks for stopping her....she does not stop talking 
page phago,dumelang
Thabo Mokoaleli,Which Molefe is being referred to? Is it Popo Molefe or Brian Molefe?
ALTA,corrie ferreira hallo daar diane louw gm corrie ferreira 😘😘 Goatee gm @melds melds gm Valencia gm @Diane Louw the boeing flew over the cukoos nest😂 @Diane Louw ek ook 😂😂😊😂 @melds melds... vetkoek en stroop @Teunis van Ree gm charlie 😂😂😂😂yes 😎 @Heather Durr hello 😘 charlie so true 😁😁 i dont recall gupthas and zuma work very hard to bankrupt S.A. @Goatee i think 1 2 3 will work to block you again @Heather Durr... pass on for me to please 😁😁😁 @Canis hi @melds melds .... dont worry be happy beddy you dont know me at all ... so please Previous .... leave it my friend
Bavuyile Melane,@Valencia J 😀🤣😂
Mhango Lucky,"Now the old granny cannot answer mxm just listen to this....
Terrance H Parkin,Annatjie louw..how low can you go.. "indicated  "Women are Stronger & more Godlike than us men ..So family members of this woman Greed Greed Greed !! these states
Lalitha C,😂😂😂😂 Yoh!! this woman is boring 😴😴😴 Kwinana's mate this one 😂😂😂 @Lerato when you lose your grip you slip 😂 @Lerato true Oh wow! She knew corruption was happening 🤔 Hi Daine🤗 Is she fighting now 🤔 They were following Zuma that's exactly why we are here Zuma ran this country to the ground 🙄 @dorman kulani really???? 🤔
John Everitt,There Is NO Doubt That ANC Politicians Are FORMALLY Trained NEVER To Make Direct Reply To A ( Simple : Yes / No ) Question. Just Regurgitate ANC Policy and Throw In Lots Of Eh; Eh; Eh's To Waste Time Fully Knowing The Time Squeeze That The Commission Is Under; Every ANC Politician Who Appears HAS To Be Under Instruction To Intentionally DELAY Proceedings To Protect Zuma Given The Endless Ramblings I Skeem That DP's Constantly Flickering Eyes Are A DEAD Giveaway That BS / Lies Are ALSO Constantly Flowing Forth .... ! * Intellectually-Challenged * : An Overly PC-Polite Way To Describe The Doff n The Uneducated; But This Is The Very REASON That These Pliable; Slowed-Up Persons Were Placed In Positions Of Importance One Aspect That Must NEVER Be Forgotten ... With The BILLIONS That Have Gone Missing Without Any Form Accountability / Trace or Validation; A Billion Is THOUSAND MILLION .. ! !
Petrus Baloyi,coffee "the question is 
Thamsanqa Nomayela,Advocate Majavu
Thembeka Thembeka,Read it for her Advocate as per Adv Majavu’s plea Mahatma Gandhi III
Sthembiso Cyril Mkhize,@jabu malinga😂😂😂😂😂
Cecilia Posholi,Thembeka really looks like him lol
Reuben Mamanyoha,hid
muthu wa vhathu,When is Brain Molefe coming back @melds melds he did not finish his testimony and he left us hanging  @Goatee - Ade ripfe chitori chawe 
Naledi Barron,@Diane Louw Coming up dahlink! How about a Sloe & Elderberry Gin cocktail with tonic? Hello my lovely @Goatee - ! 
Sam Monkoe,@Naledi Barron Haibo its before 12
Simthembile Mposwa,Zuma simfuna ejele MKV mast fall Zuma is a criminal Zuma simfuna xelele ngokufa kuka harni sitsho sixole CPT sentrall laryins ayina treyini ngenxaka ANC nalama MKV no prasa Lathita nxaki ubona ukuba uzoveza inyani lhoomama leyiti
Cerebis,This witness was the Minister of Transport? No wonder more than 60% of all stations have disappeared or has been stripped bare of anything valuable by thieves. "Cadre deployment is the reason why we have zero service delivery. Oh No "The ""Engineer"" that purchased the tall trains can be the Head of all Government procurement.....hahaha" "The Fake Train engineer Mthimkhulu did not have a single qualification "Daniel Mthimkhulu "Hang on "No "Remember that for most of the questions asked by the Evidence Leader Why would a State President be interested in a temporary appointment in a SOE? Dipuo Peters Ex Transport Minister The Zupta ANC can then join with their Youth League the EFF and become the Opposition. There we can see them for what they are. The Young people in the ANC go to the Political School where the corrupt ANC old people will teach them the ANC way? CongratulationsAnd celebrationsWhen I tell everyone She will not answer that Chair! It took her 2 years to do all that? @Kwazi Buthelezi Agree with your comments. "Wow "Zondo Commission period extended by 3 months. All those that thought we will get away because the Commission is no more
Thabo Seoko,Lucky Montana must just come to the commission and tell Zondo about the train "'President fell asleep""" come again chairperson..... she is not answering DCJ question JZ feel asleep in the middle of the meeting..🤣🤣🤣🤣🤣🤣🤣 Lucky Montana is no doubt knowledgeable about rail transport in general "@Lerato Moleke : he is saying we must wait for wednesday he will ""spill the beans"".....cant wait..." The evidence leader is unfair with this line of questioning.....she will give the information as supplementary evidence. "@Previous Nkopodi : Bongo the chairperson of portfolio of home affairs in the current administration...remember Bongo is alleged to have ""bribed"" Adv Vanara during parliamentary investigation on eskom" @Lerato Moleke : it will appear to me that the net is closing on so many guys who were too complicit in rendering their services while in public office....  it appears to me that most guys in the executive were taking advantage of Zuma's lack of critical judgment  @Brightwell Kunene : i dont think everyone is incompetent.....problem is party loyalty and that narrative thanks to state capture is slowly dying
Lwazi Shenxane,Qz
Prns Chrmng,The president what?! 😂
Jubu Mahlangu,Hi
Kelly Mpande,Morning Lerato M nd Valencia l am around Lerato M l saw those comments Lerato thy nt gud at all The banks must came and answer
Kwazi Buthelezi,Evasive to say the least Zola Majavu is a very decent lawyer @Maritime Studies he is among the best legal minds we have.
Donavan Arthur,Gogo u forgotten to flip pages Futuristically
MofatR Avo,Zuma sleeping in a meeting 🤣🤣🤣 He was only awake when he was at Saxonwold feasting on curry He was still asleep
Russia Magezi,This Magogo
Ka Fuze,Hahahahahahaha...JZ slept in the meeting...LOL
michael mbatha,This president was sleeping everywhere e.g. SOE meetings and parliament he's sleeping. The country indeed was leaderless for 9 years.
Xhoixhoi Clan,its called naziforum not afriforum naziforum Boeremag settlers naziforum Boeremag settlers captured Ramaphosa
Sue Naik,"like a preschool child sleep in class
Lehlohonolo Phakamela,"Dipuo said Zuma did not say much in the meeting
Thaabit Abrahams,can the judge stop this aunty now!!!!!!!!! shes talking crap "please DCJ all this zumites how can it be correct and speculation
MrHellYa,He can go sleep long time in jail. Now there is no decent rail services to talk about anymore!! They stuffed it all up!! Even under Apartheid black people had a decent train\bus service. Now nothing worth talking about. Now only taxis that are rubbish!! I want to buy the DCJ. I just love him!!
SD Gudunkomo,"Why insults Melds I see.but I dont think most people here are concerned about the truth She stand by her decisions :chillwcat::chillwcat::chillwcat: Minister they wanted you to say Zuma prevented the process of appointing the group CEO. They are not please by not putting Zuma in the centre of the problems of prasa Mboweni Ramaphosa too @JD I think we all now agree that Zondo is biased and he accepts it @Andrew Mboweni.when dealing with Zuma you left ANC aside but when it comes to Ramaphosa you drag ANC to cover Ramaphosa.I see what you are doing ...to shield Ramaphosa @Mboweni @Sal this is not about taxes at all.the establishment do not care about that.its all politics.if you think that this is about accountibiliy then you are sleeping Andrew there is nothing Zuma did that the current administration has not done.so its not about corruption.its about white holding on into power through the ANC puppets
Canis Africanis,"""The government should rather enforce laws aimed at bolstering tax compliance"" according to a learned man. A wise man said it's better to stop corruption." @Themba Mzimela Are you part of the corrupt looters of this country? Or just a beneficiary of the looting? Or do you just hate this country? @ALTA GA "The ""collective"" """Sometimes it's cheaper to violate the law"" This isn't simply a matter of negligence or poor oversight. This is wilful intent to defraud "@Melanon Let me get this right... you're a supporter and beneficiary of looting Old African wisdom: If you pull one pig by the tail all the rest will squeal. """Judge the evil ones who want to corrupt this country and eat along with their friends."" - Same wise man" @Melds melds Yes. """Why would someone who has done something wrong now be moved by their conscience to do something right?"" - Current African wisdom" "“People are right to be angry. Corruption threatens the well-being of our societies """Rotten wood cannot be carved."" - African wisdom" Never argue with someone who believes their own lies. Or trust them to lead. "These looters begin with making falsehood appear like truth
Manelo Manelo2,take it easy Maritime let her speak her mind out take it easy Maritime let her speak her mind out
Themba Mzimela,this judge is captured himself. I see now he's really against Zuma are u not corrupt yourself
sammy sammido,But the old madala is boring "she is so cute "she is so cute "she is so cute "she is so cute "she is so cute "So they fire her because she was on a witness to the commission "So they fire her because she was on a witness to the commission "So they fire her because she was on a witness to the commission "So they fire her because she was on a witness to the commission
Brightwell Kunene,"@Sal SA  "@Sal SA  @Sal SA When they are parked for a short while they will gather dust. Proved they have been parked for a decade. What for? why not sell them? @Sal SA Issue of the tall/short trains arose about a decade ago now. You means they still failed to do anything? You mean the people who came after Montana are incompetent too? @Sal SA Why is everybody incompetent though?. It does not matter who replaces who? @Thabo Seoko So Umlungu wase Eskom naye is suffering from Party Loyalty. He is failing to prevent Load shedding mosi?
Louis C,@Heather Durr Get off my cloud...rolling stones Hi@Diane Louw  @ALTA Middag juffrou. Baie formeel @ALTA Die dikgat is nie ons dam se eend nie @dude cool exactly😅😅😅 All these Ministers never thought they would have to account for their deeds. Whilst in office they where a law upon themselves and no one dared question their actions "@Maritime Studies Wow @Maritime Studies commiserations. let's hope that justice will prevail @Buti Sipho athletes foot..? "Like water off a duck's back "Apartheid Min of Transport @Mzwanele shange Funnier things have happened in SA "How truthful will Raymond Zondo be in his report petersah... @Moonchild wish I could share your optimism @Previous Nkopodi How you Brother? @MrHellYa Not unlikely @zip reeper it makes him many things Hello Diane🖐 "@Maritime Studies Get over it "Mr Soni "@Moonchild read history @zip reeper because they can't swim...in my opinion @Lerato Moleke My love... @Lerato Moleke All i need is the air that i breathe....the hollies Get on Ma . The snacks in the VIP lounge at O.R are nearly finished @Tommygun My very thought! "@Jenny Whitewaves Hear I'm moving to Montana soon..FZ @Previous Nkopodi A song by Frank Zappa "@Andrew Mboweni Why are still in SA @Danile Ngubenyathi Paid for by PRASA "Ms Ngoye @Pastor J.J They both have a gripe with PRASA(formerly known as SA Railways) @Pastor J.J How LUCKY can you get? "@Pastor J.J All the 'whistleblowers' so far have been lauded for their courage @Pastor J.J He actually considered himself a hero! Now Fats is pulling a Zuma and doing everything to avoid coming back @Pastor J.J with Bossasa left over produce
Bonny Mfene,Zondo is trying sooooo hard to validate Popo Molefe's evidence. He's trying sooo hard to try & implicate Zuma with Molefe's evidence. Pathetic
ALTA AND HEATHER DURR ARE RACISTS.,Goat my son dont let racists faze you ....yes we are very much aware that Alta and Heather durr are racists but it is what it is and they were raised that way by their racists parents @Beddy - They do block people who are critical of organizations which are established to preserve white privilege and yes if it is true that Goatee was blocked for texting in Venda that is racism🤨
Mphikeleli Masinga,How long we gonna repeat the same point for? Educated members calling out Zuma please refer to the truth commission and see how de Klerk dealt with things no different to Zuma but how quickly you forget  @canis I concur  @melds I said educated folk. why then would Zuma have to come when he clearly knows nothing will happen to him if doesn’t. Lawyers refer back to previous cases as base to win current cases @charlie zamile I agree with you but what are supposed outcomes of both? I get me  @charlie Zamile it’s accountability we looking for hence why we are all here we want learn what went wrong and how. Just like the TRC  @Charlie Zamile I am with you  @charlie Zamile which is worse money or lives?  @fieliesSA 😂
Goatee Sir,I think what is more appalling is they are proud of it🤐 Let me leave it @melds melds...
14nateg,"Unfortunately JZ will never come before the comission - so why not nail him with evidence Our country is uneducated. """We left it as such."" - " Get ready for this explosive evidence today. She isn't @melds melds  She just said she's a former employee... off course it is @Moonchild The whole state IS STILL CORRUPT with Cyril in charge!
Vlak Kgole,That’s a stupid question from Zondo🤷‍♂️
Beddy -,"c'mon I dont know why people protect the likes of Alta and Heather Durr
Helene Nortje,@heatherdurr are you an estate agent
Melanon -,So let me get this right....Alta and Heather Durr are one of those white people who still very much reminisce on the apartheid days?
Pancho Mulongeni,"""sprung on me""" "Foreigners "and locals ""slip through""? Hai "Indeed of Europeans slip through awful. When your fellow Africans want to work "overuse of the word ""particular""" "at that ""particular time"" I trying to process the evidence... lol
Mirror -,@Melanon - It seems so but Alta and Heather Durr seem to both be having extreme difficulties in hiding their white supremacist attitude 🤔
dude cool,nother state capture case today *another when my daughter is making fat cakes at home why would I go and fat cakes next door "sorry my sentence was out of line. ""When my daughter is making fat cakes at home why would I go and buy fat cakes next door""" she is reading. She must know the answer and give a reason why please minister answer the question. 🙏 I love all the letters of the alphabet except A and C 😂🤣 "South Africa is a disgrace. NSC question papers leak
OS Muzik,"The ""Ndzeku Defence"". ""If I know Another example of an accountability problem! "The ""skills and competency audit"" should have started with the ministers "Zondo does have patience
BIRD -,I think it is very obvious that what you get from Heather Durr and Alta is their disdain towards anything black who anything that seems to represent them. One of those many whites stuck in the past.
bekithemba masa,"zuma has a right exercise his rights 
Bee_chomi,"He was doing a great work though Those with qualifications are just messing things up @previous Nkopodi
Julius EFF,Wouldn't be surprised if Alta and Heather durr last said the K word a second ago😳
Helen Zille,Racism is taught and learned .
50 Cent,Lol Julius Malema.
Dylan Jacklin,"These Ministers did absolutely nothing "@Joel Aphane cadres appointed ""without checking"" qualifications"
Joel Aphane,we want the 500bn returned from the loan sharks.. setup the commission "incorrect trains bought without checking Europeans settled without verification also evidence leader looks like he needs lengana @martha he is a bit frail.. I suspect covid.. 😂 this guy wants the minister to do verification of qualifications? wa gafa monn @martha but look at the ears monn.. too much weight loss. prescribe some mopani worms also @martha the commission e tlo mmolaisha pelo aker ba ka se sware Zuma.
Lee D. Hendrix,"...One day ago "..Older people tend to talk as the prevailing form of Government
kevindbn007,excuses excuses "oh lady eish she talks much "zooma supporters like being robbed oh gosh another example
FieliesSA,"@Kevin W no such word as ""accountable"" " You see...? It was the board... it was the officials... Never her as the minister of transport...  Hi @Heather Durr !  "@Heather Durr Very common these days is for politicians to talk about SA's sisuasion @Thabo Daniel Well Zuma did not come to prove his innocence... That was Zondo's way of telling her to choose her word carefully... LOL Back then it was important to seem like they had reason for their decisions. Now it seems it was a shot in the dark with no considerations of impact or consequence...  "If you are unable to do the work Someone please catch me up. WHo is this lady and what is her role? "@Audiotronix SA No matter shat type
Nhlanhla,wenzeni mthimkhulu?
MJ Ten-20,"There was too much fights for power ""I am the boss"" sole powerful."
sibusiso siyabonga ndaba,Dipuo Peters is not aging at all.. for a 60 year old. 😀
Reinette Raubenheimer,truth council
Sydney Refiloe,she's 65
Petro Chiloane,our representatives are comedians straight
Sharon Cloete,"Amazing they always use the words deployed Building their own fiefdoms! They all have dirt on each other that is why they don't talk! Wonder if Zuma is going to duck tomorrow's Court proceedings? No small wonder Zuma is too scared to appear here.....
cabonena alfred mosikili,dipuo peters is struggling a lot and even closing her eyes🤣🤣 South African politicians are corrupt moer ZONDO is gentle and genius
Gugulethu Xhosans,Dipuo saw what Lucky Montana could do in future writing a book Shem . She is clutching on straws hahahhaa. It's getting hot
Lindwell Daniels,Fire all Corrupt Politicians she did not appoint CEO its because they want to Loot the state she is a liar
Inno inno,@melds melds..... sad but true.
Gerrit Van Schoor,"Mama is going to run to the toilet at lunchtime . This Gogo is talking way to much .... She is double clutching - but her clutch will start slipping soon 
pink_pastel_roses,stop wasting money on this pathetic commission that is doing NOTHING!!!! sanitize your mind of the bs Dee Dee
Maheshkumar Patel,when is ms. Hofmeyer due "the South African sangomas must come on board "I am indicating
George_Lunatic,yesterday it was the eyes
Elizabeth Jooste,Louis yes just confusing the whole matter.... no need for an essay "Aubrey yes we were "" dead"" long before covid.....and all fraud with covid just inhumane..... is l" Jenny dream on Musa agree
Muhammad Nizamie,who's this one talking.? i mossed out 1 week
Bulali Pepeteka,How is the frustration of the board being referred to as a fact. Molefe is the one who assumed the board was frustrated. There's no evidence of such
rana rksingh,what will happened will zoma go to jail ?
David Maake,its a problem when old people are corrupt what are the young ones going to do its a proble when old people are corrupt what the young ones are going to do
Mr L,her memory is back chair... thank you! boooom! thank you @Melds has the commission laid charges against Dudu??🤔 or we just focusing on Zuma only? "but Dudu exposed a witness "Yeah looking at it objectively it is starting to seem as though DCJ is biased "@Rudi not until the NPA actually prosecutes Dudu for exposing whistleblowers... at this point so we won't get to see Kate again before the commission concludes?? I miss Kate nothing wrong with the EL today "yes Phatiswa akere Phatiswa is wrong: In the ANC you rather be caught stealing than doing your job... because we can't teach you how to steal properly and you can't steal properly if you are doing your job! commission gets three month extension this is why I so bady wish the NPA can make an example of DUDU and send a message to witnesses that someone takes them seriously! "*aside* The banks also need to come answer @SAL SA are certain transactions which exceed certain amounts not to be flagged? irregular financial flows? atleast for those persons who are PEP??? why were Gupta accouns frozen so late? @SAL SA during this Sate of capture and there is no suspicious or unusual transactions?? @SAL SA so banks only act when the news breaks??? really?? @SAL SA read the FIC Act @SAL SA some auditing firms are paying for their sins as we speak (though it's not much) same cannot be said about the banks I think it's section 29 of the act that requires reporting of suspicious transactions... I don't believe you can this level of capture without there being some suspicious transactions "the banks are complicit
SIMPHIWE NKWANYANA,Yoh. Congratulations and Condolences lol
Warren Manning,meandos now "give records of consultations
L K,"I respect this man's patience
Pheladi Lamola,"This just irks me. When there are elections
mbulelo pefile,thanks @melds melds 
Bongumenzi Nxumalo,The same Molefe who has not even finished testifying..  Majava..  Lols...kuBirdd "This one of Adv. Jiba is very clear.. this is how counsel engages with the other Akere mama.. 
Andrew Mboweni,This Dipuo peters she served in government nearly for a lifetime same apply to Jacob Zuma i think it is a wrong way of running governent "@Sabelo Nxumalo  at the age of 65 years time for pensiones but here they commence their terms of presidency "@Sabelo Nxumalo  "ramaphosa s biography  "The error of leadership  we must appreciate the western world for the skills and knowledge they transfered to the african continents as of jacob zuma there was nothing that changed except to steal from the same purse  LIFE IS TOUGH NOW King mswati state of a nation address yesterday driven by the ROLLS ROYCE entourage what a waste of taxpayer s money "THE FAILER OF BLACK LEADERSHIP THIS TIME CADRE DEPLOYMENT MUST FALL AT ALL COST  ENOUGH IS ENOUGH THE PEOPLE OF THIS COUNTRY ARE SUFFERING UNDER THE WATCH OF ALL THIS PEOPLE CALLED MINISTERS  IS IT TRUE THAT GAVIN WATSON IS DEAD @Jenny Whitewaves it is acollective responsibility to fix this mess right from apartheid and corruption  "@Jenny Whitewaves  "@Jenny Whitewaves "@Jenny Whitewaves "@Jenny Whitewaves  "@Jenny Whitewaves  "@Jenny Whitewaves  "@Jenny Whitewaves  "@Jenny Whitewaves  "We know the democracy we have is a contrary to china  But if you look at the development of china they are the global largest economy in the world  if we want south africa to advance we must reject JULIUS MALEMA AND HIS EFF  we have great leaders like Dr Ruel khoza who is serving in the board of nedbank  "@Jenny Whitewaves "@Jenny Whitewaves  "@Jenny Whitewaves "@Jenny Whitewaves "@Jenny Whitewaves  "i hate even his shades as he is heartless and he listen to DR ABDOOL KARIM over the people of south africa and his national coronavirus command council and his ministers  "@yoliswa mbebe
Herman Malatji,:buffering
MARTIN ENGELBRECHT,acting like a scaffold plank exposing the filth is biased?? enough tea girls at prasa laying about the offices and platforms in there weaves and on there cell phones ...and so rude seat is getting sweaty hot JJ VACCINE NOT APPROVED BUT BEING ADMINISTERED .... memory loss CEO position open for one year so 24billion could be spent on these cadres money for the movement 10% 53 000 000 000 000 stop the giberish how much did you approve for the movement 80 000 000 did you give anc 80 million ...yes or no ?? michellen star buffet at ORT...nice 1 2 3  prima facae
JD CROSSON,@melds okay 👍🏼  @sabelo yep!!! It’s the end of his career 
Kevin Simon,Zondo for PRESIDENT!!!!!!!!!!!!
Mzalwane Mzala,Charges were laid against Ms Myeni @Mr L  People are looking for anything to discredit this commission and its chairperson.
Barbara Sattler,I would rather be a tea girl at Prasa. At least I know I earned my salary honestly She was/is a Zuma informant "Last night at the commission ""investigate"" .The same today"
Thato Olifant,:virtualhug::virtualhug:
Jeff Maja,It is clear it was 9 years wasted years.
Norman Zwane,I liked how Zuma ends his meetings- he just keels over fall asleep and his ministers dismiss themselves. @Jeff Maja I like how some people see it otherwise. I have no idea what waste is for them. @Gerrit Van Schoor She has her athritic back against the wall.
Junior Mancinza,Yes you correct @Mzalwane Mzala
Danile Ngubenyathi,Dudu Myeni is attending a court case of which some of the things that are being said here on state capture are related to the case that she's attending. so for her to answer some of the questions here will jeopardize the case approaching a minister you don't remember who was he/her help help who's this now 🤔? hmm she's educated maan she came with a tablet @louis C we mustn't shy away paid by our money we are in crisis here in SA. all the parties are the ribs of ANC. others the likes of DA are there to oppose not to come up with new strategies to build SA instead they wait for ANC to flop
KENEILWE MOCHWARO,indicator tog!!!!🤣🤣🤣 🤣🤣🤣🤣🤣 don't indicate.
Mondli Nohashe,Talks a lot yhu ! uyaloqa lo mama This Gogo pretends to know the ANC more than anyone @Standford Mabuya:washhands:
Lindikaya Myeki,At least she's answering unlike Mr Nzeku & Zuma @Moonchild the guy who appear in relation with SAA and another company. "Moonchild
Rudi Haywood,"After commission requested jail time for JZ Hmm quite so @Mr L thx  "Hi @Previous I almost thought this SC would start with “be the change you want to see” @Jenny 👍🏽👌🏽
Letsatsi Mahapa,They loot and blame apartheid why? "The main target's was SAA
Mantwa Maluleka,the lady is angry
KrsOne,Mama is so Panicking Right now. be calm Mama haole Tsotsi Otla dula Ole Tsotsi adjournment? TILL WHAT TIME WHEN ARE PPL GETTING ARRESTED are we the Grade12's here:buffering:
Aubrey De Bliquy,Just be truthful. That is always best. @Moonchild 100% We have slipped into a mindless totalitarian rule which is killing millions. We will not know if we are dying from COVID or Vaccines. @68 I take that personally. @Sal SA No rushed vaccine makes sense while banning a 35 year old Nobel prize winning pill the UN paid 2cents for under Obama respected by doctors as a 100% effective COVID inhibitor. "@Sal SA Under the current WHO dictatorship we will never know if the Virus or the Vaccine is killing us. This is the AIDS/HIV/ARV WHO scam all over again. AIDS kills 20 @Sal SA Anyone who tells you there is a tested Vaccine worthy of our trust under the present worldwide subservience to corporate sponsored who is a BOLD FACED LIAR. It is not bossible by definition. @Jabu Malinga 100% LOL Sitting in front of my PC doing nothing. LOL pity the pay sucks. Zuma is a Marxist. He doen't like Democracy unless he wins. Is the Commission mandate not just investigation? Surely the public prosecutor must decide to prosecute or not. 15% VAT is TAX everyone pays. @Thapelo Motabogi Would it not be a greater benefit to talk about what democracy can do to correct what Apartheid has done? We all know Apartheid was a stupid idea. How can we fix it that's not worse? Apparently the Military spent R150 million for medicine from Cuba to fight the COVID biological warfare and 40% went off because of the fridges losing power. Corruption kills and causes poverty. It is like pumping a tire with a nail in it. @Thapelo Motabogi Racism will unfortunately always be with us. It is our choice if we want a different path. @Thapelo Motabogi If speaking the truth is racist by your reckoning that is a distorted view of reality and intelligent conversation. @Thapelo Motabogi You just made yourself look stupid without correcting whatever I said you view as wrong but happy to smear me by associating me with people I do not know. That is ignorant. @Thapelo Motabogi Truth requires no justification. THere will always be racists. That does not mean I am one. I don't like it but I wont put my head in a hole like an ostrich as you do and pretend. "@Thapelo Motabogi Racists @Thapelo Motabogi You want to talk victim class and oppressor class puts you in the same mind fv<k as Marxist communist stooges who are surprised when they end up in the supposed opressor class. "@yoliswa mbebe We don't have to make a religion out of corruption. We arem ourselves to stop it firstly by exposiong it as the Commission is mandated to do. It si slow It seems like CODESA did not give us a representative democracy because the parties nominate parliament. So we end up with a party dictatorship. If Zuma liked democracy he could have changed the law to make his actions legal. The fact that he did not do so makes him look like an incompetent crook. @Sal SA Fiat money makes us all slave who think they are free. People spoke the truth while it risked their livelihood are the true heroes of this sorry story. Res ipsa loquitur (thing speaks for itself) is a doctrine in law that can infer negligence from the very nature of an accident or injury in the absence of direct evidence on how any defendant behaved. Surely the ANC must see that corruption will undermine their own agenda for South Africans voters.
Phumlani Nxumalo,which state entity hasn't been looted yet. i've learned so much from these and now i want to do practicals.
Elton Josea,"DCJ is setting her up  I will miss this mama Mbalula what a clown 
Thobani Mnqobi,how can you Not remember the Minister?
zip reeper,meenistah ... louis is zondo really anc supporter? louis but that makes him a dishead as lawyers .. he wishes "diane jacqui 👍 hi "you can give them monstrous salaries trying to look intelligent flipping thru pages "child of the moon censoring yourself "louis shes a lowbrow rural peasant dirty nasty gomezz the seafarer she has a ancwl meeting too today gomes is angolan living in sandton involved in prasa deals. friend of zuma aag di a pleasure "melds balance or ballast of evidence going to montana with my ruby encrusted tweezers gleaming in the moonlight - zappa "going to.montana only zumas team is in court today noon ngoye sa's goya head of legal but she gets fired anc will resume armed struggle prima faeces like the vaal river 1000 zondos cant save this country sv1 zondo bronson will ride to the rescue melds banks like the smell of money "mike tommygun 🤣 diane i was wondering too dormant thoughts
Jaco Kritzinger,@Maritime Studies How so? "@Maritime Studies "" May I not answer in case I incriminate myself.""?" Is Prasa the burning house in this analogy? Who is the boer?  Can you lose IQ points while listening to the commission?  @Tommygun the 'Dream Team' SOE's shouldn't have board members if they are micro-managed by cabinet ministers...
